Vehicle Name,Year of Model,Brand Name,Engine,Kms Driven,Variant,Transmission Type,Number of Photos Uploaded,Total Views,Price of the Car
2018 Maruti Ignis,2018,Maruti,1.2 Sigma BSIV,"25,330",Petrol,Manual, 13,5195,"4,40,000"
2015 Hyundai I20,2015,Hyundai,Sportz 1.4 CRDi,"40,522",Diesel,Manual, 13,606,"7,23,000"
2017 Hyundai Grand I10,2017,Hyundai,Sportz,"65,166",Petrol,Manual, 13,5019,"4,80,000"
2019 Renault Kwid,2019,Renault,RXT Optional,"7,759",Petrol,Manual, 13,2025,"4,40,500"
2017 Hyundai Grand I10,2017,Hyundai,1.2 Kappa Sportz BSIV,"36,234",Petrol,Manual, 14,2870,"4,95,000"
2016 Maruti Swift,2016,Maruti,VDI Optional,"58,308",Diesel,Manual, 13,1574,"6,50,000"
2017 Maruti Alto 800,2017,Maruti,VXI,"74,792",Petrol,Manual, 13,166,"3,39,000"
2016 Maruti Alto K10,2016,Maruti,VXI,"47,359",Petrol,Manual, 13,1307,"3,25,000"
2019 Renault Kwid,2019,Renault,1.0 RXT,"25,472",Petrol,Manual, 13,1346,"4,20,000"
2015 Maruti Wagon R,2015,Maruti,VXI BS IV,"33,078",Petrol,Manual, 13,376,"4,18,500"
2014 Hyundai Grand I10,2014,Hyundai,Sportz,"78,450",Petrol,Manual, 13,1749,"4,30,000"
2015 Hyundai Grand I10,2015,Hyundai,Sportz,"81,939",Petrol,Manual, 3,1977,"4,55,000"
2015 Maruti Swift,2015,Maruti,VXI,"57,951",Petrol,Manual, 13,1588,"5,37,500"
2019 Hyundai Grand I10,2019,Hyundai,1.2 Kappa Magna BSIV,"13,611",Petrol,Manual, 13,3449,"5,25,000"
2016 Volkswagen Polo,2016,Volkswagen,1.5 TDI Highline,"99,556",Diesel,Manual, 14,3697,"5,15,000"
2017 Maruti Swift,2017,Maruti,VDI BSIV,"55,374",Diesel,Manual, 13,1004,"6,04,500"
2016 Hyundai I20,2016,Hyundai,Sportz 1.2,"41,955",Petrol,Manual, 13,2231,"5,94,500"
2017 Maruti Alto 800,2017,Maruti,LXI,"27,101",Petrol,Manual, 13,811,"3,25,000"
2019 Renault Kwid,2019,Renault,RXT,"26,014",Petrol,Manual, 13,673,"4,10,000"
2017 Maruti Swift,2017,Maruti,VDI Optional,"36,569",Diesel,Manual, 13,2660,"6,00,000"
2017 Maruti Wagon R,2017,Maruti,AMT VXI,"41,220",Petrol,Automatic, 13,5349,"4,25,000"
2019 Maruti S-presso,2019,Maruti,VXI,"24,268",Petrol,Manual, 13,6805,"3,90,000"
